% q Iq0 Iq_cross Iq_resonant Residual
0.002 33909256317.34787 113749345.78807728 -5180503.668152544 135815707.1186349
0.008040404 33540858336.562332 112239737.79671168 -5123835.575916914 134107578.18306307
0.014080808 32741988321.14525 108992583.1800699 -4999181.236157645 130384871.04616174
0.020121212 31539717845.55818 104134265.07719788 -4810789.961904991 124790107.60277012
0.026161616 29974271823.261383 97851838.27284218 -4564983.784561873 117532833.4203236
0.03220202 28097020439.83943 90381406.89263457 -4269923.403123504 108879204.54704776
0.038242424 25968011093.419876 81997165.12174161 -3935109.892101493 99138864.95748813
0.044282828 23653100533.381565 72995900.15819466 -3571003.294569313 88648765.14934063
0.050323232 21220930025.550926 63682735.974016145 -3188474.7738335286 77756736.19625282
0.056363636 18739863815.285347 54354466.64611532 -2798453.2698001866 66802684.28437004
0.06240404 16275134507.956367 45287684.0636036 -2411323.8654357363 56105892.13408094
0.068444444 13886279077.123148 36726030.15087048 -2036593.2124536952 45951802.12250674
0.074484848 11625022006.696333 28870488.498518873 -1682571.159930834 36578624.96182247
0.080525253 9533719037.46749 21874486.37253314 -1356014.9743430512 28173146.44878102
0.086565657 7644356641.102503 15839097.519177718 -1062089.1754890778 20867098.300709873
0.092606061 5978181614.955148 10814227.210300824 -804210.4110635797 14737724.55731047
0.098646465 4545888644.812815 6801103.979191914 -584099.357412884 9815904.53232888
0.10468687 3348324138.3399315 3757588.401713118 -401887.8138310013 6103254.91808543
0.11072727 2377616925.2801323 1605507.9078602337 -256287.43219836 3607201.4880203414
0.11676768 1618625842.4148698 239089.16008636393 -144821.93641481467 2342778.904172502
0.12280808 1050589478.0713246 -465978.82866125664 -64090.589121596015 2002319.7445929262
0.12884848 648863208.2415477 -643411.6982540524 -10041.685264983962 1866297.4017903623
0.13488889 386628426.5592968 -428003.7543545783 21743.544744571846 1542054.2369726654
0.14092929 236483904.89481825 51789.49760470219 35794.18816150285 986588.3824779977
0.1469697 171838925.67461845 679778.8854145221 36517.17503640076 293879.06395367114
0.1530101 168055870.83588657 1356424.918841819 28007.274434294734 572002.1181223404
0.15905051 203309809.18952897 2001533.233271458 13899.866155273467 1346051.8736531658
0.16509091 259157248.0130891 2555403.173588421 -2726.501076797133 2048046.5343870383
0.17113131 320823902.6645416 2978499.921967157 -19405.389550070257 2620376.9977132767
0.17717172 377240263.46696395 3250007.445360986 -34291.20912986272 3031761.2723832987
0.18321212 420863025.07266355 3365435.171017837 -46135.4892897438 3269901.275812731
0.18925253 447330389.8542525 3333677.6359147853 -54231.18995243895 3338201.0425693626
0.19529293 454999836.4982929 3173726.166189231 -58339.68593527004 3252424.125972199
0.20133333 444418307.97463685 2911387.1801166297 -58602.17679310593 3037171.7461688253
0.20737374 417768471.9045752 2576155.7333131162 -55447.97072074236 2722556.7724415385
0.21341414 378329691.2302947 2198463.0559971575 -49502.505659456285 2341059.231321771
0.21945455 329983167.76362246 1807368.8813628838 -41503.204495314785 1924955.4932102954
0.22549495 276782836.4990641 1428776.2652617858 -32225.47444411902 1504128.6512837855
0.23153535 222605328.9069176 1084193.189412899 -22420.69421416639 1104530.9845927872
0.23757576 170883880.02479857 789975.7970317048 -12769.695253775644 747213.718699131
0.24361616 124426192.78999497 557058.1967250233 -3848.0644737310085 447761.1835026329
0.24965657 85309555.3120449 391032.53588073363 3893.319631760277 216521.85539566062
0.25569697 54844762.354655124 292553.9859887641 10137.528117483547 62110.21463444533
0.26173737 33597199.135902986 257967.41853981867 14700.759869814543 46723.52851250889
0.26777778 21452947.81856432 280085.2365305326 17523.86543604817 65106.76494322158
0.27381818 17717737.809572555 349048.95393337135 18658.063918823493 39379.87484400027
0.27985859 21237358.457685262 453223.3597053817 18247.09406814964 76679.57472814289
0.28589899 30529138.760407038 580070.9062579761 16507.043281306065 193923.36417062907
0.29193939 43915574.6771991 716970.3746332218 13705.326386865876 338790.5433380752
0.2979798 59652646.6303181 851953.5206728838 10140.150537618501 495219.4230252085
0.3040202 76046695.84922044 974331.0670861582 6120.900961859809 650441.7655754673
0.31006061 91555235.33157559 1075196.7152996776 1950.490957796269 793332.1177592725
0.31610101 104868204.57524212 1147792.5776819326 -2090.158035094128 914601.5269650145
0.32214141 114967504.1185043 1187733.2646716656 -5754.896632658616 1007097.3383416127
0.32818182 121163685.55198495 1193083.9408919602 -8842.365230196709 1065998.7916021424
0.33422222 123109827.8438341 1164298.6546103393 -11202.921221666918 1088901.2016984357
0.34026263 120793584.54700056 1104024.1199709605 -12742.72790541809 1075768.90254711
0.34630303 114509580.36897336 1016795.6761678378 -13424.331894054189 1028778.3112183798
0.35234343 104814881.46812356 908634.8774048811 -13264.56264879019 952040.0278803732
0.35838384 92471252.9570341 786577.1444222337 -12329.940089163178 851229.770968123
0.36442424 78378532.06951362 658168.7649964562 -10729.201937249949 733157.2991550694
0.37046465 63503542.37458743 530952.5000460092 -8604.319538509813 605287.6016808
0.37650505 48809327.75213229 411984.25279477536 -6119.745614092518 475243.41965411097
0.38254545 35189083.035617664 307402.02181057975 -3451.1280349684826 350328.32542681246
0.38858586 23408825.98219384 222076.0649275504 -773.9009411384264 237096.36789329984
0.39462626 14062105.035835756 159359.85482650445 1747.6122806884928 140985.54728256687
0.40066667 7539145.138326487 120954.60535201477 3969.9411380794604 66136.1869038177
0.40670707 4011692.7206785097 106887.24278462247 5778.264475488981 16627.161755983452
0.41274747 3433864.9991291515 115603.52033544912 7092.1487683334835 17610.107337599024
0.41878788 5558056.970648001 144160.28426954916 7868.675850443675 23843.391194346033
0.42482828 9964060.57757227 188501.03965245292 8102.972571759828 23891.490422568557
0.43086869 16098674.379997713 243791.1673881874 7826.1699779017745 48407.66493002012
0.43690909 23322494.15906451 304787.51196396165 7101.078050738596 94484.55464392761
0.44294949 30960185.563026704 366213.1413494734 6015.848803582208 151030.91381484587
0.4489899 38350529.06550402 423113.38566343155 4676.291493744594 211498.8151167216
0.4550303 44892696.69628442 471169.772616009 3197.4403154743545 270475.9627271428
0.46107071 50085619.93823388 506949.4194544874 1694.8051971748878 323261.2965879707
0.46711111 53558063.93319149 528081.3114904755 276.27964574948317 365990.9936829923
0.47315152 55087710.54864484 533347.5663637834 -965.0604607165998 395792.969652408
0.47919192 54608496.44174717 522691.4135822895 -1956.5483740480802 410908.14236621675
0.48523232 52206286.44759379 497143.5138258094 -2649.818134903235 410726.84075428953
0.49127273 48103877.52829777 458680.76736245217 -3022.5454100141087 395753.3274037793
0.49731313 42636949.47307606 410028.21498646575 -3078.2297082874184 367488.96937714785
0.50335354 36223238.819712326 354424.50171759434 -2843.9803721822564 328268.0294870333
