% q Iq0 Iq_cross Iq_resonant Residual
0.002 24193289439.886795 -17324726.270446714 -3298716.0701288446 37858968.8585544
0.008040404 23972731709.793842 -17164802.332520023 -3268631.0483479346 37513178.32561273
0.014080808 23492858375.74588 -16817373.89201891 -3203213.754663659 36761459.58487127
0.020121212 22767110249.019337 -16292329.165138647 -3104302.2493860405 35624068.98148887
0.026161616 21815626616.366753 -15603629.348452788 -2974596.740637803 34133716.99529497
0.03220202 20664407070.192257 -14771026.25849301 -2817698.7676907685 32329727.139023937
0.038242424 19344323803.213306 -13816049.485292342 -2637754.38912705 30261346.070624243
0.044282828 17889869653.556755 -12764704.375775078 -2439526.4281254523 27982844.842569258
0.050323232 16337884705.219677 -11642948.618712956 -2227980.033567241 25551342.890128765
0.056363636 14726144579.562668 -10478709.210532673 -2008294.319750091 23026522.804693595
0.06240404 13092019241.106216 -9299129.062763423 -1785559.9223254258 20466828.342793655
0.068444444 11471189410.529644 -8129278.673270617 -1564580.2664687878 17927519.523008
0.074484848 9896444848.93663 -6994383.021823839 -1349920.022688441 15461025.943273617
0.080525253 8396756382.850466 -5914634.788257106 -1145466.7713317692 13112454.530791668
0.086565657 6996463127.022051 -4907854.736443498 -954547.2020457868 10919887.738588173
0.092606061 5714751561.371181 -3988085.5608165395 -779784.7626940784 8913472.737172037
0.098646465 4565373398.168782 -3165195.518585773 -623048.0171523619 7114766.265405206
0.10468687 3556604826.7880235 -2445207.9538514754 -485469.55442800216 5536841.851692125
0.11072727 2691447413.1758757 -1830228.512046472 -367459.80617140926 4184225.1272673085
0.11676768 1968034574.4742887 -1318765.2510422647 -268763.6882759319 3054138.856801623
0.12280808 1380211902.509924 -906229.8607461237 -188544.34958963428 2136872.609537422
0.12884848 918253774.1736786 -585365.8632442625 -125476.22100169914 1417052.9787691084
0.13488889 569665327.6143094 -346917.6849480864 -77858.78427410412 875135.0762020367
0.14092929 320028415.8979669 -180172.6686169971 -43726.76090810949 488418.25651637185
0.1469697 153842374.9854516 -73627.16703625153 -20968.25638245585 232489.9218843568
0.1530101 55320303.539075464 -15563.372088158081 -7432.378924690933 82471.81497524118
0.15905051 9104605.079603234 5427.388501305108 -1026.501201693458 13806.853062217831
0.16509091 873294.4559134989 -17.895603863945507 200.4408146706279 5330.458116891684
0.17113131 17817913.644593973 -22386.43322423205 -2006.8647023606084 36251.54660964991
0.17717172 48981944.95510176 -53548.556614998866 -6156.394891810401 88344.92707898974
0.18321212 85457981.4070195 -86909.80328658334 -11035.62440198329 148229.33475601644
0.18925253 120449896.44631162 -117462.55482140565 -15719.910743470293 205214.8448976532
0.19529293 149213239.95704237 -141756.00428763052 -19564.856525316063 251834.1381999321
0.20133333 168893365.10689244 -157760.1973561942 -22182.892596643702 283604.459999644
0.20737374 178283153.9901397 -164714.2547474113 -23411.733692374994 298639.44054073445
0.21341414 177526741.71858805 -162882.90608636837 -23272.441228573705 297210.5863224868
0.21945455 167793333.9372139 -153335.53097260286 -21926.41191190857 281197.71918846323
0.22549495 150946570.46628758 -137664.16060808906 -19627.975796933402 253605.59280018284
0.23153535 129229465.98642942 -117775.02988399133 -16683.682838686298 218041.07345236812
0.23757576 104984163.3482018 -95644.39952817143 -13412.173496724654 178259.375062918
0.24361616 80418343.4556431 -73151.61897175323 -10113.426542888421 137821.95755569314
0.24965657 57427568.960162096 -51927.93646060252 -7044.009454214227 99804.84395660674
0.25569697 37476470.159942634 -33260.254957618476 -4401.086592231227 66594.39744300704
0.26173737 21537910.8397371 -18034.72410876141 -2314.076184124731 39798.13251319821
0.26777778 10084992.261037659 -6726.736933564389 -843.94263457569 20231.08102732417
0.27381818 3127927.703368218 579.474268102188 11.80228224860617 7964.942741638105
0.27985859 285411.32431761 4138.495339425222 309.0863995214067 2181.145109538005
0.28589899 879189.7006678536 4472.1220615547745 144.1449878004724 965.6571661038406
0.29193939 4040303.532692845 2286.558933940382 -361.15891317923837 5782.597703393207
0.2979798 8816212.986387888 -1614.1754167907714 -1074.1491869695749 13057.141629409865
0.3040202 14269494.823339619 -6410.649672642114 -1864.9611022140386 21515.375538188895
0.31006061 19560790.91575866 -11340.200473291956 -2617.9655876511715 29863.31081576798
0.31610101 24011006.040057424 -15754.882221153614 -3240.351051937126 37013.04738073442
0.32214141 27140197.743692506 -19161.061355892605 -3667.397346338605 42174.65981965037
0.32818182 28682899.0663344 -21240.766913371208 -3864.479088044867 44891.242556822304
0.33422222 28581672.300321586 -21856.854915660366 -3826.1845441532346 45034.989447024076
0.34026263 26962398.970235676 -21040.166756448427 -3572.706264358658 42771.692480565594
0.34630303 24095920.720349204 -18963.079335514667 -3144.3278461005752 38500.439791033554
0.35234343 20351198.987781122 -15907.966270443385 -2594.969271557317 32785.8100351219
0.35838384 16145467.518786293 -12225.589536207084 -1985.00574149151 26275.44839631071
0.36442424 11896211.857985895 -8296.700553953488 -1374.639739120009 19626.120099958185
0.37046465 7979312.884358693 -4490.57851404605 -817.7614317093452 13440.25505905752
0.37650505 4696349.381172645 -1135.3066430996312 -357.5577489099212 8210.255016701174
0.38254545 2253159.1581678833 1509.9294225527199 -23.312714094030916 4291.352736301323
0.38858586 750248.2307728692 3270.9525987373772 170.91430759337103 1878.7564354149767
0.39462626 184617.8311632573 4066.116532947674 226.03922781679125 813.6824903590854
0.40066667 461526.95900525694 3905.233232782527 156.30557221821797 556.4853436058893
0.40670707 1413947.7383978234 2880.50071115337 -13.483496446843768 1929.511284499057
0.41274747 2827005.7289601606 1151.3669478785196 -251.45200262205276 4140.624386164462
0.41878788 4464514.390852858 -1074.8042170940228 -522.4535300524117 6740.858053984554
0.42482828 6094820.909409598 -3564.2836278048435 -791.8042831497348 9374.937644666228
0.43086869 7513534.966055931 -6078.643404346327 -1028.5925934394827 11724.53836233381
0.43690909 8561256.113670968 -8394.6571263775 -1208.2892685752338 13536.203917881036
0.44294949 9135076.398172792 -10321.237538104424 -1314.4988066234905 14641.58750516225
0.4489899 9193356.837596169 -11711.989732684187 -1339.7437906108112 14966.77204303071
0.4550303 8753962.206705516 -12473.054930714226 -1285.3215646733331 14531.180573583048
0.46107071 7886751.936212223 -12565.980128922105 -1160.3262866703064 13438.071754075663
